Date,Open,High,Low,Close,Adj Close,Volume
2016-08-05,33.548386,33.709679,33.415562,33.624287,27.812943,28665006
2016-08-08,33.472485,33.472485,32.931690,33.140415,27.412703,32189687
2016-08-09,33.197342,33.491463,33.111954,33.282730,27.530424,18054388
2016-08-10,33.368122,33.377609,33.121441,33.330170,27.569666,14887328
2016-08-11,33.330170,33.472485,33.301708,33.349148,27.585365,14106841
2016-08-12,33.282730,33.311195,32.969639,33.187855,27.451946,15840777
2016-08-15,33.254269,33.368122,33.140415,33.311195,27.553970,13021116
2016-08-16,33.149906,33.282730,32.988613,33.007591,27.302834,15944174
2016-08-17,32.969639,33.349148,32.969639,33.339657,27.577509,17961109
2016-08-18,33.339657,33.548386,33.197342,33.387096,27.616751,17002390
2016-08-19,33.263756,33.320683,33.045540,33.187855,27.451946,20624777
2016-08-22,33.017078,33.472485,32.979126,33.055027,27.342075,27448690
2016-08-23,33.206833,33.462997,33.121441,33.292221,27.538277,17873627
2016-08-24,33.425049,33.567364,32.979126,33.036053,27.326380,23755157
2016-08-25,32.979126,33.387096,32.884251,32.988613,27.287138,19083092
2016-08-26,33.017078,33.301708,32.884251,33.036053,27.326380,19785688
2016-08-29,33.149906,33.368122,33.036053,33.311195,27.553970,15941645
2016-08-30,33.311195,33.377609,33.064514,33.092979,27.373468,15274779
2016-08-31,33.074005,33.149906,32.836811,33.017078,27.310686,21919616
2016-09-01,32.950665,33.149906,32.836811,32.903225,27.216507,16780945
2016-09-02,32.998100,33.055027,32.836811,32.988613,27.287138,15215333
2016-09-06,33.092979,33.197342,32.969639,32.988613,27.287138,17882059
2016-09-07,32.941177,33.102467,32.903225,33.055027,27.342075,15615537
2016-09-08,32.931690,33.026566,32.846298,32.941177,27.247898,19216212
2016-09-09,32.779884,32.817837,32.343452,32.352940,26.761328,23595055
2016-09-12,32.258064,32.950665,32.201138,32.874763,27.192963,20472685
2016-09-13,32.675522,32.675522,32.115749,32.296017,26.714243,21878510
2016-09-14,32.371918,32.590134,32.125237,32.201138,26.635765,19924921
2016-09-15,32.153702,32.571156,31.831120,32.390892,26.792723,21890104
2016-09-16,32.438332,32.466793,32.096775,32.201138,26.635765,26998737
2016-09-19,32.248577,32.286530,31.869070,31.925997,26.408175,18489584
2016-09-20,32.106262,32.201138,31.878557,32.077801,26.533743,14875313
2016-09-21,32.163189,32.571156,32.011387,32.523720,26.902594,16397500
2016-09-22,32.571156,32.666035,32.324478,32.400379,26.800570,17641220
2016-09-23,32.409866,32.609108,32.267551,32.504745,26.886898,13635703
2016-09-26,32.182163,32.267551,31.707781,31.916510,26.400324,31119982
2016-09-27,32.049335,32.144215,31.764706,32.096775,26.549440,16453572
2016-09-28,32.115749,32.258064,31.963947,32.248577,26.675005,15080421
